base_date,fund_id,nav_price
2025-07-01,FND001,11325.67
2025-07-02,FND001,11345.23
2025-07-03,FND001,11298.45
2025-07-04,FND001,11367.89
2025-07-05,FND001,11389.12
2025-07-06,FND001,11356.78
2025-07-07,FND001,11403.45
2025-07-08,FND001,11423.67
2025-07-09,FND001,11387.23
2025-07-10,FND001,11445.89
2025-07-11,FND001,11467.34
2025-07-12,FND001,11434.56
2025-07-13,FND001,11478.92
2025-07-14,FND001,11456.78
2025-07-15,FND001,11489.23
2025-07-16,FND001,11523.45
2025-07-17,FND001,11501.67
2025-07-18,FND001,11534.89
2025-07-19,FND001,11567.23
2025-07-20,FND001,11589.45
2025-07-21,FND001,11612.78
2025-07-22,FND001,11634.56
2025-07-23,FND001,11656.89
2025-07-24,FND001,11689.23
2025-07-25,FND001,11723.45
2025-07-26,FND001,11756.78
2025-07-27,FND001,11789.12
2025-07-28,FND001,11823.45
2025-07-29,FND001,11856.78
2025-07-30,FND001,11889.12
2025-07-31,FND001,11923.45
2025-07-01,FND002,5467.89
2025-07-02,FND002,5489.23
2025-07-03,FND002,5456.78
2025-07-04,FND002,5512.34
2025-07-05,FND002,5534.67
2025-07-06,FND002,5523.45
2025-07-07,FND002,5556.78
2025-07-08,FND002,5578.92
2025-07-09,FND002,5567.23
2025-07-10,FND002,5589.45
2025-07-11,FND002,5612.78
2025-07-12,FND002,5634.56
2025-07-13,FND002,5656.89
2025-07-14,FND002,5678.23
2025-07-15,FND002,5689.45
2025-07-16,FND002,5723.78
2025-07-17,FND002,5756.12
2025-07-18,FND002,5789.45
2025-07-19,FND002,5823.78
2025-07-20,FND002,5856.12
2025-07-21,FND002,5889.45
2025-07-22,FND002,5923.78
2025-07-23,FND002,5956.12
2025-07-24,FND002,5989.45
2025-07-25,FND002,6023.78
2025-07-26,FND002,6056.12
2025-07-27,FND002,6089.45
2025-07-28,FND002,6123.78
2025-07-29,FND002,6156.12
2025-07-30,FND002,6189.45
2025-07-31,FND002,6223.78
2025-07-01,FND003,8989.45
2025-07-02,FND003,9023.78
2025-07-03,FND003,8987.12
2025-07-04,FND003,9045.67
2025-07-05,FND003,9078.23
2025-07-06,FND003,9056.78
2025-07-07,FND003,9123.45
2025-07-08,FND003,9156.78
2025-07-09,FND003,9134.23
2025-07-10,FND003,9189.45
2025-07-11,FND003,9223.78
2025-07-12,FND003,9256.12
2025-07-13,FND003,9289.45
2025-07-14,FND003,9323.78
2025-07-15,FND003,9356.12
2025-07-16,FND003,9389.45
2025-07-17,FND003,9423.78
2025-07-18,FND003,9456.12
2025-07-19,FND003,9489.45
2025-07-20,FND003,9523.78
2025-07-21,FND003,9556.12
2025-07-22,FND003,9589.45
2025-07-23,FND003,9623.78
2025-07-24,FND003,9656.12
2025-07-25,FND003,9689.45
2025-07-26,FND003,9723.78
2025-07-27,FND003,9756.12
2025-07-28,FND003,9789.45
2025-07-29,FND003,9823.78
2025-07-30,FND003,9856.12
2025-07-31,FND003,9889.45
